Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL151713,,None,454.57,1,5.31,26,CC(C)(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,Inhibition,'=',100,%,,,,UO_0000187,,,,,0,CHEMBL820689,Inhibition of Vascular endothelial growth factor receptor 2 autophosphorylation by VEGF in human umbilical vein endothelial cells (HUVECs) at 50 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145920,1,Scientific Literature,J Med Chem,2003,CHEMBL3307501,,,,100
CHEMBL359084,,None,410.47,0,4.19,17,CC(=O)c1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,IC50,'=',187,nM,6.73,,,UO_0000065,16.39,0.3,2.54,9.43,0,CHEMBL817492,In vitro inhibitory concentration against human vascular endothelial growth factor receptor 2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145920,1,Scientific Literature,J Med Chem,2003,None,,,,187
CHEMBL149636,,None,442.58,1,5.24,29,CCSCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,IC50,'=',21,nM,7.68,,,UO_0000065,17.35,0.33,2.44,14.15,0,CHEMBL817492,In vitro inhibitory concentration against human vascular endothelial growth factor receptor 2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145920,1,Scientific Literature,J Med Chem,2003,None,,,,21
CHEMBL208229,,None,419.49,1,5.72,45,c1ccc(-c2ccc(Nc3nnc(-c4cccnc4CCc4ccncc4)o3)cc2)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL863825,Inhibition of VEGFR2 phosphorylation in HEK293 cells by cell-based ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146931,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3307715,,,,
CHEMBL208363,,None,411.39,1,5.07,30,FC(F)(F)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,IC50,'=',720,nM,6.14,,,UO_0000065,14.93,0.28,1.07,8.01,0,CHEMBL863825,Inhibition of VEGFR2 phosphorylation in HEK293 cells by cell-based ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146931,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3307715,,,,0.72
CHEMBL424321,,None,454.57,1,5.31,25,CCCCOCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,Inhibition,'=',100,%,,,,UO_0000187,,,,,0,CHEMBL820688,Inhibition of Vascular endothelial growth factor receptor 2 autophosphorylation by VEGF in human umbilical vein endothelial cells (HUVECs) at 200 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145920,1,Scientific Literature,J Med Chem,2003,CHEMBL3307501,,,,100
CHEMBL412102,,None,475.86,1,5.31,1l,Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc1)CCN2,IC50,'=',6,nM,8.22,,,UO_0000065,17.28,0.34,2.91,7.01,0,CHEMBL928167,Inhibition of KDR in presence of 1 mM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144750,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,0.006
CHEMBL296475,,None,290.33,0,2.89,5j,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C#N)n2)c1,IC50,'=',232,nM,6.63,,,UO_0000065,22.85,0.41,3.74,8.35,0,CHEMBL811942,Biochemical inhibition of phosphorylation of a poly-Glu/Tyr (4:1) peptide substrate by isolated vascular endothelial growth factor receptor 2 (cloned and expressed as a GST-fusion protein).,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1136377,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,,232
CHEMBL1812379,,None,313.79,0,4.11,5b,Cc1ccc(-c2nc3cc(NC(=O)CCCl)ccc3[nH]2)cc1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL1817209,Inhibition of VEGFR-2 at 50 uM after 1 hrs by luminescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1811776,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,
CHEMBL370545,,None,405.48,0,4.9,93,COc1cc(-c2csc3ncnc(N)c23)ccc1NC(=O)Nc1cccc(C)c1,IC50,'=',13,nM,7.89,,,UO_0000065,19.45,0.37,2.99,7.72,0,CHEMBL871626,Inhibitory concentration against human KDR kinase expressed in NIH3T3 cells with 4 uM Biotin-Ahx-AEEEYFFLFA-amide at ambient temperature for 1 hr,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141091,1,Scientific Literature,J Med Chem,2005,CHEMBL3307716,,,,13
